EVENT	842613534	160	167
EVENT	842613534	198	205
EVENT	842613534	293	305
EVENT	842613534	331	340
EVENT	842613534	431	437
EVENT	842613534	507	511
EVENT	842613534	562	569
EVENT	842613534	595	599
EVENT	842613534	626	632
EVENT	842613534	654	661
EVENT	842613534	755	757
EVENT	842613534	808	815
EVENT	842613534	840	846
EVENT	842613534	879	887
EVENT	842613534	945	951
EVENT	842613615	106	113
EVENT	842613615	175	181
EVENT	842613615	203	210
EVENT	842613615	240	246
EVENT	842613615	269	274
EVENT	842613615	318	329
EVENT	842613615	348	352
EVENT	842613615	423	426
EVENT	842613615	440	448
EVENT	842613615	530	536
EVENT	842613615	601	607
EVENT	842613615	785	789
EVENT	842613615	836	839
EVENT	842613615	859	866
EVENT	842613615	918	924
EVENT	842613615	983	987
EVENT	842613615	1009	1012
EVENT	842613615	1078	1082
EVENT	842613615	1206	1211
EVENT	842613615	1199	1205
EVENT	842613615	1310	1315
EVENT	842613615	1332	1341
EVENT	842613615	1353	1361
EVENT	842613615	1367	1374
EVENT	842613615	1526	1529
EVENT	842613615	1545	1557
EVENT	842613615	1618	1624
EVENT	842613615	1665	1670
EVENT	842613615	1713	1719
EVENT	842613615	1767	1774
EVENT	842613615	1933	1938
EVENT	842613615	2051	2055
EVENT	842613615	2093	2098
EVENT	842613696	70	75
EVENT	842613696	122	128
EVENT	842613696	173	180
EVENT	842613696	273	276
EVENT	842613696	439	445
EVENT	842613696	483	489
EVENT	842613696	508	512
EVENT	842613696	534	538
EVENT	842613696	569	573
EVENT	842613696	703	712
EVENT	842613696	777	786
EVENT	842613696	856	860
EVENT	842613696	881	885
EVENT	842613696	965	971
EVENT	842613777	142	150
EVENT	842613777	169	177
EVENT	842613777	194	204
EVENT	842613777	226	231
EVENT	842613777	310	315
EVENT	842613777	330	336
EVENT	842613777	354	365
EVENT	842613777	419	424
EVENT	842613777	483	489
EVENT	842613777	640	648
EVENT	842613777	704	712
EVENT	842613777	780	786
EVENT	842613777	919	928
EVENT	842613777	982	986
EVENT	842613777	1036	1041
EVENT	842613777	1070	1079
EVENT	842613777	1212	1217
EVENT	842613777	1235	1244
EVENT	842613777	1266	1272
EVENT	842613777	1341	1345
